Stock Name,Sector,Classification,Month,Net Qty Bought,Approx. Buy Value(In Rs. cr) *
Sanofi Consumer Healthcare India Ltd.,Healthcare,Small-Cap,December-2025,26366,12.10
Apar Industries Ltd.,Capital Goods,Mid-Cap,December-2025,13669,11.98
Zydus Wellness Ltd.,FMCG,Small-Cap,December-2025,270420,11.97
Kilburn Engineering Ltd.,Capital Goods,Small-Cap,December-2025,204082,11.86
Century Plyboards (India) Ltd.,Construction,Small-Cap,December-2025,144992,11.81
Newgen Software Technologies Ltd.,Technology,Small-Cap,December-2025,136293,11.76
GMM Pfaudler Ltd.,Capital Goods,Small-Cap,December-2025,103808,11.56
Ceat Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,29966,11.48
Edelweiss Financial Services Ltd.,Financials,Small-Cap,December-2025,1051604,11.48
Wework India Management Ltd.,Miscellaneous,Small-Cap,December-2025,189047,11.37
PN Gadgil Jewellers Ltd.,Retail and Other Services,Small-Cap,December-2025,182937,11.32
Aarti Drugs Ltd.,Healthcare,Small-Cap,December-2025,269735,11.28
Gujarat Mineral Development Corporation Ltd.,Energy,Small-Cap,December-2025,195319,11.11
Epigral Ltd.,Chemicals,Small-Cap,December-2025,81045,11.07
Automotive Axles Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,60000,11.02
Sudarshan Chemical Industries Ltd.,Chemicals,Small-Cap,December-2025,112287,11.01
Rallis India Ltd.,Chemicals,Small-Cap,December-2025,403650,10.97
Galaxy Surfactants Ltd.,FMCG,Small-Cap,December-2025,53824,10.96
SIS Ltd.,Miscellaneous,Small-Cap,December-2025,327183,10.84
Steel Strips Wheels Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,557903,10.71
Gravita India Ltd.,Metals,Small-Cap,December-2025,57467,10.58
TruAlt Bioenergy Ltd.,FMCG,Small-Cap,December-2025,245797,10.44
Shreeji Shipping Global Ltd.,Logistics,Small-Cap,December-2025,299434,10.42
Avalon Technologies Ltd.,Capital Goods,Small-Cap,December-2025,112283,10.37
Kalyani Steels Ltd.,Metals,Small-Cap,December-2025,134394,10.36
Venus Pipes & Tubes Ltd.,Metals,Small-Cap,December-2025,84619,10.29
Heritage Foods Ltd.,FMCG,Small-Cap,December-2025,217031,10.23
Ratnamani Metals & Tubes Ltd.,Metals,Small-Cap,December-2025,42912,10.20
ICRA Ltd.,Miscellaneous,Small-Cap,December-2025,16391,10.06
Brigade Enterprises Ltd.,Construction,Small-Cap,December-2025,112145,9.98
Emami Ltd.,FMCG,Small-Cap,December-2025,186582,9.88
Aditya Birla Fashion and Retail Ltd.,Retail and Other Services,Small-Cap,December-2025,1272853,9.86
Arvind Smartspaces Ltd.,Construction,Small-Cap,December-2025,166329,9.86
Gujarat Narmada Valley Fertilizers & Chemicals Ltd,Chemicals,Small-Cap,December-2025,197401,9.79
Eureka Forbes Ltd.,Consumer Durables,Small-Cap,December-2025,152216,9.66
Atul Ltd.,Chemicals,Small-Cap,December-2025,15671,9.41
Alembic Pharmaceuticals Ltd.,Healthcare,Small-Cap,December-2025,101927,8.94
Brigade Hotel Ventures Ltd.,Travel,Small-Cap,December-2025,1230274,8.93
Prime Focus Ltd.,Media and Communications,Small-Cap,December-2025,486790,8.78
Latent View Analytics Ltd.,Miscellaneous,Small-Cap,December-2025,183222,8.77
Capri Global Capital Ltd.,Financials,Small-Cap,December-2025,466040,8.64
Rubicon Research Ltd.,Miscellaneous,Small-Cap,December-2025,130367,8.59
RHI Magnesita India Ltd.,Capital Goods,Small-Cap,December-2025,184917,8.54
VA Tech Wabag Ltd.,Miscellaneous,Small-Cap,December-2025,63561,8.45
Timken India Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,26785,8.25
Apollo Micro Systems Ltd.,Capital Goods,Small-Cap,December-2025,328458,8.22
Carraro India Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,148516,8.05
Choice International Ltd.,Financials,Small-Cap,December-2025,94471,7.76
Fujiyama Power Systems Ltd.,Capital Goods,Small-Cap,December-2025,351433,7.59
Ashapura Minechem Ltd.,Energy,Small-Cap,December-2025,83756,7.36
Indiqube Spaces Ltd.,Miscellaneous,Small-Cap,December-2025,335740,7.31
Godrej Agrovet Ltd.,Miscellaneous,Small-Cap,December-2025,125060,7.29
Aditya Vision Ltd.,Retail and Other Services,Small-Cap,December-2025,143599,7.27
Caplin Point Laboratories Ltd.,Healthcare,Small-Cap,December-2025,38041,7.13
Quality Power Electrical Equipments Ltd.,Capital Goods,Small-Cap,December-2025,96112,7.09
Healthcare Global Enterprises Ltd.,Healthcare,Small-Cap,December-2025,97174,6.77
Orient Electric Ltd.,Consumer Durables,Small-Cap,December-2025,361760,6.70
Can Fin Homes Ltd.,Financials,Small-Cap,December-2025,72910,6.62
Rainbow Children's Medicare Ltd.,Healthcare,Small-Cap,December-2025,49568,6.62
Styrenix Performance Materials Ltd.,Chemicals,Small-Cap,December-2025,32299,6.56
Elgi Equipments Ltd.,Capital Goods,Small-Cap,December-2025,131803,6.49
GR Infraprojects Ltd.,Infrastructure,Small-Cap,December-2025,61799,6.41
Arvind Fashions Ltd.,Retail and Other Services,Small-Cap,December-2025,125739,6.31
Thirumalai Chemicals Ltd.,Chemicals,Small-Cap,December-2025,272030,6.29
Laxmi Organic Industries Ltd.,Chemicals,Small-Cap,December-2025,357229,6.27
HBL Engineering Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,68768,6.23
Juniper Hotels Ltd.,Travel,Small-Cap,December-2025,248400,6.15
Ivalue Infosolutions Ltd.,Consumer Durables,Small-Cap,December-2025,211720,6.15
PCBL Chemical Ltd.,Chemicals,Small-Cap,December-2025,193938,6.08
TARC Ltd.,Construction,Small-Cap,December-2025,381094,5.92
KRN Heat Exchanger And Refrigeration Ltd.,Capital Goods,Small-Cap,December-2025,74460,5.74
EFC (I) Ltd.,Miscellaneous,Small-Cap,December-2025,195000,5.66
Marathon Nextgen Realty Ltd.,Construction,Small-Cap,December-2025,100000,5.53
Sterlite Technologies Ltd.,Capital Goods,Small-Cap,December-2025,516354,5.37
Thomas Cook (India) Ltd.,Travel,Small-Cap,December-2025,356275,5.29
Orchid Pharma Ltd.,Healthcare,Small-Cap,December-2025,66329,5.28
Electronics Mart India Ltd.,Retail and Other Services,Small-Cap,December-2025,457031,5.15
Hindustan Construction Company Ltd.,Infrastructure,Small-Cap,December-2025,2291880,4.92
Signatureglobal (India) Ltd.,Construction,Small-Cap,December-2025,42588,4.77
Amara Raja Energy & Mobility Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,50690,4.72
KSB Ltd.,Capital Goods,Small-Cap,December-2025,61186,4.66
Dr. Reddy's Laboratories Ltd.,Healthcare,Large-Cap,December-2025,36349,4.60
Aegis Vopak Terminals Ltd.,Miscellaneous,Small-Cap,December-2025,180045,4.59
Transport Corporation Of India Ltd.,Logistics,Small-Cap,December-2025,41370,4.49
TVS Srichakra Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,9762,4.35
Sharda Motor Industries Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,45936,4.31
JK Paper Ltd.,FMCG,Small-Cap,December-2025,115845,4.19
Time Technoplast Ltd.,Consumer Durables,Small-Cap,December-2025,208087,4.04
Bajel Projects Ltd.,Infrastructure,Small-Cap,December-2025,223358,3.92
Repco Home Finance Ltd.,Financials,Small-Cap,December-2025,93836,3.91
Maharashtra Scooters Ltd.,Financials,Small-Cap,December-2025,2628,3.80
Sanathan Textiles Ltd.,Textile,Small-Cap,December-2025,83896,3.79
The Karnataka Bank Ltd.,Financials,Small-Cap,December-2025,178610,3.73
V-Guard Industries Ltd.,Capital Goods,Small-Cap,December-2025,110796,3.72
SH Kelkar And Company Ltd.,Chemicals,Small-Cap,December-2025,211499,3.70
JK Tyre & Industries Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,76826,3.65
Dhanuka Agritech Ltd.,Chemicals,Small-Cap,December-2025,29323,3.54
Elantas Beck India Ltd.,Chemicals,Small-Cap,December-2025,3549,3.42
Amanta Healthcare Ltd.,Healthcare,Small-Cap,December-2025,317378,3.42
Greaves Cotton Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,172018,3.38
The Anup Engineering Ltd.,Capital Goods,Small-Cap,December-2025,14732,3.32
Supriya Lifescience Ltd.,Healthcare,Small-Cap,December-2025,44059,3.30
Astra Microwave Products Ltd.,Capital Goods,Small-Cap,December-2025,33441,3.20
DCM Shriram Ltd.,Diversified,Small-Cap,December-2025,25205,3.11
Hindustan Foods Ltd.,Diversified,Small-Cap,December-2025,57672,3.05
Garware Hi-Tech Films Ltd.,Consumer Durables,Small-Cap,December-2025,8368,2.95
Railtel Corporation Of India Ltd.,Media and Communications,Small-Cap,December-2025,79243,2.81
Medplus Health Services Ltd.,Retail and Other Services,Small-Cap,December-2025,33912,2.74
Zen Technologies Ltd.,Capital Goods,Small-Cap,December-2025,19242,2.67
Tilaknagar Industries Ltd.,FMCG,Small-Cap,December-2025,56635,2.64
Quess Corp Ltd.,Miscellaneous,Small-Cap,December-2025,125586,2.64
Viyash Scientific Ltd.,Healthcare,Small-Cap,December-2025,119682,2.59
Patel Engineering Ltd.,Infrastructure,Small-Cap,December-2025,796228,2.59
Hexaware Technologies Ltd.,Technology,Mid-Cap,December-2025,33338,2.54
Euro Pratik Sales Ltd.,Construction,Small-Cap,December-2025,77636,2.52
Atlanta Electricals Ltd.,Capital Goods,Small-Cap,December-2025,26761,2.44
Supreme Petrochem Ltd.,Energy,Small-Cap,December-2025,37701,2.43
Tata Investment Corporation Ltd.,Financials,Mid-Cap,December-2025,33671,2.43
Anupam Rasayan India Ltd.,Chemicals,Small-Cap,December-2025,19082,2.42
Wonderla Holidays Ltd.,Retail and Other Services,Small-Cap,December-2025,43878,2.38
Carborundum Universal Ltd.,Capital Goods,Small-Cap,December-2025,26714,2.29
ISGEC Heavy Engineering Ltd.,Infrastructure,Small-Cap,December-2025,26337,2.29
Solarworld Energy Solutions Ltd.,Infrastructure,Small-Cap,December-2025,77692,2.23
Kross Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,124618,2.20
Jupiter Life Line Hospitals Ltd.,Healthcare,Small-Cap,December-2025,14946,2.15
Samhi Hotels Ltd.,Travel,Small-Cap,December-2025,110413,2.09
Ajax Engineering Ltd.,Capital Goods,Small-Cap,December-2025,32680,1.98
Nitin Spinners Ltd.,Textile,Small-Cap,December-2025,56074,1.81
Gopal Snacks Ltd.,FMCG,Small-Cap,December-2025,55741,1.80
Indian Metals & Ferro Alloys Ltd.,Metals,Small-Cap,December-2025,12497,1.77
Jaiprakash Power Ventures Ltd.,Energy,Small-Cap,December-2025,966118,1.74
UCO Bank,Financials,Mid-Cap,December-2025,559210,1.68
Central Bank Of India,Financials,Small-Cap,December-2025,444388,1.68
KRBL Ltd.,FMCG,Small-Cap,December-2025,37888,1.52
Rashtriya Chemicals and Fertilizers Ltd.,Chemicals,Small-Cap,December-2025,104317,1.50
Jindal Saw Ltd.,Metals,Small-Cap,December-2025,89787,1.48
RACL Geartech Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,13224,1.45
Suprajit Engineering Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,30436,1.43
Fedbank Financial Services Ltd,Financials,Small-Cap,December-2025,96271,1.43
SBI Cards And Payment Services Ltd.,Financials,Mid-Cap,December-2025,16149,1.41
TTK Prestige Ltd.,Consumer Durables,Small-Cap,December-2025,22175,1.40
Windlas Biotech Ltd.,Healthcare,Small-Cap,December-2025,17482,1.38
Nesco Ltd.,Miscellaneous,Small-Cap,December-2025,10763,1.35
Bajaj Consumer Care Ltd.,FMCG,Small-Cap,December-2025,51696,1.35
Sundram Fasteners Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,13958,1.30
Adani Total Gas Ltd.,Energy,Mid-Cap,December-2025,21324,1.25
Sanghi Industries Ltd.,Construction,Small-Cap,December-2025,192329,1.24
Anirit Ventures Ltd.,Textile,Small-Cap,December-2025,255000,1.19
Datamatics Global Services Ltd.,Technology,Small-Cap,December-2025,14299,1.18
Netweb Technologies India Ltd.,Consumer Durables,Small-Cap,December-2025,3486,1.12
Vintage Coffee & Beverages Ltd.,Miscellaneous,Small-Cap,December-2025,65129,1.04
Harsha Engineers International Ltd.,Capital Goods,Small-Cap,December-2025,27256,1.04
TSF Investments Ltd.,Financials,Small-Cap,December-2025,20756,1.00
Century Enka Ltd.,Textile,Small-Cap,December-2025,21064,0.96
Olectra Greentech Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,7729,0.95
MM Forgings Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,26017,0.90
Rane Holdings Ltd.,Financials,Small-Cap,December-2025,6177,0.86
Flair Writing Industries Ltd.,FMCG,Small-Cap,December-2025,27680,0.85
Andhra Paper Ltd.,FMCG,Small-Cap,December-2025,123697,0.84
Gallantt Ispat Ltd.,Metals,Small-Cap,December-2025,12352,0.70
Smartworks Coworking Spaces Ltd.,Miscellaneous,Small-Cap,December-2025,14248,0.69
Reliance Infrastructure Ltd.,Energy,Small-Cap,December-2025,39662,0.67
Rolex Rings Ltd,Automobile and Ancillaries,Small-Cap,December-2025,56728,0.65
The New India Assurance Company Ltd.,Financials,Small-Cap,December-2025,39644,0.65
Procter & Gamble Health Ltd.,Healthcare,Small-Cap,December-2025,1098,0.63
VIP Industries Ltd.,Retail and Other Services,Small-Cap,December-2025,16656,0.63
Savita Oil Technologies Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,16066,0.61
Swan Corp Ltd.,Textile,Small-Cap,December-2025,12556,0.58
Kaveri Seed Company Ltd.,FMCG,Small-Cap,December-2025,5679,0.56
MPS Ltd.,Media and Communications,Small-Cap,December-2025,2552,0.53
Power Mech Projects Ltd.,Infrastructure,Small-Cap,December-2025,2270,0.53
Sandur Manganese & Iron Ores Ltd.,Energy,Small-Cap,December-2025,22421,0.51
The Fertilisers And Chemicals Travancore Ltd.,Chemicals,Mid-Cap,December-2025,5653,0.51
Tejas Networks Ltd.,Media and Communications,Small-Cap,December-2025,10388,0.49
Gufic Biosciences Ltd.,Healthcare,Small-Cap,December-2025,13384,0.46
PC Jeweller Ltd.,Retail and Other Services,Small-Cap,December-2025,475568,0.46
TCI Express Ltd.,Logistics,Small-Cap,December-2025,7913,0.46
Valor Estate Ltd.,Construction,Small-Cap,December-2025,33724,0.42
Trident Ltd.,Textile,Small-Cap,December-2025,145430,0.40
Bansal Wire Industries Ltd.,Metals,Small-Cap,December-2025,12003,0.38
Sonata Software Ltd.,Technology,Small-Cap,December-2025,10431,0.37
JBM Auto Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,5780,0.36
IDBI Bank Ltd.,Financials,Mid-Cap,December-2025,33007,0.34
Divgi Torqtransfer Systems Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,5709,0.34
Foseco India Ltd.,Chemicals,Small-Cap,December-2025,658,0.33
Optiemus Infracom Ltd.,Miscellaneous,Small-Cap,December-2025,6017,0.32
ASK Automotive Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,6517,0.32
Ramkrishna Forgings Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,5138,0.28
Suryoday Small Finance Bank Ltd.,Financials,Small-Cap,December-2025,19130,0.27
Firstsource Solutions Ltd.,Technology,Small-Cap,December-2025,7675,0.26
Aarti Pharmalabs Ltd.,Healthcare,Small-Cap,December-2025,3647,0.26
IFCI Ltd.,Financials,Small-Cap,December-2025,49069,0.25
Vardhman Textiles Ltd.,Textile,Small-Cap,December-2025,5733,0.25
GPT Healthcare Ltd.,Healthcare,Small-Cap,December-2025,16729,0.24
E2E Networks Ltd.,Technology,Small-Cap,December-2025,1113,0.24
Alkyl Amines Chemicals Ltd.,Chemicals,Small-Cap,December-2025,1433,0.23
Kewal Kiran Clothing Ltd.,Textile,Small-Cap,December-2025,4201,0.21
Xpro India Ltd.,Consumer Durables,Small-Cap,December-2025,2119,0.21
Rashi Peripherals Ltd.,Miscellaneous,Small-Cap,December-2025,5677,0.19
Carysil Ltd.,FMCG,Small-Cap,December-2025,1871,0.18
Zuari Industries Ltd.,FMCG,Small-Cap,December-2025,5000,0.16
Filatex India Ltd.,Textile,Small-Cap,December-2025,30292,0.16
Balu Forge Industries Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,2616,0.16
GK Energy Ltd.,Infrastructure,Small-Cap,December-2025,10018,0.16
Vishnu Chemicals Ltd.,Chemicals,Small-Cap,December-2025,2861,0.15
Huhtamaki India Ltd.,FMCG,Small-Cap,December-2025,6671,0.14
Star Cement Ltd.,Construction,Small-Cap,December-2025,6026,0.14
Bombay Burmah Trading Corporation Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,569,0.11
Alok Industries Ltd.,Textile,Small-Cap,December-2025,65455,0.11
Borosil Ltd.,Consumer Durables,Small-Cap,December-2025,3216,0.10
Relaxo Footwears Ltd.,FMCG,Small-Cap,December-2025,1888,0.08
India Glycols Ltd.,FMCG,Small-Cap,December-2025,698,0.07
Tata Teleservices (Maharashtra) Ltd.,Media and Communications,Small-Cap,December-2025,12981,0.07
Cello World Ltd.,Miscellaneous,Small-Cap,December-2025,1035,0.06
ITI Ltd.,Media and Communications,Small-Cap,December-2025,1627,0.05
Man InfraConstruction Ltd.,Infrastructure,Small-Cap,December-2025,3710,0.05
Rajratan Global Wire Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,711,0.03
eMudhra Ltd.,Technology,Small-Cap,December-2025,353,0.02
Redtape Ltd.,Retail and Other Services,Small-Cap,December-2025,1890,0.02
Fischer Medical Ventures Ltd.,Miscellaneous,Small-Cap,December-2025,1532,0.01
Jindal Worldwide Ltd.,Textile,Small-Cap,December-2025,2996,0.01
Bajaj Healthcare Ltd.,Healthcare,Small-Cap,December-2025,179,0.01
Unimech Aerospace and Manufacturing Ltd.,Capital Goods,Small-Cap,December-2025,101,0.01
Bombay Dyeing And Manufacturing Company Ltd.,Textile,Small-Cap,December-2025,6,0.00
Bajaj Hindusthan Sugar Ltd.,FMCG,Small-Cap,December-2025,163,0.00
Bhansali Engineering Polymers Ltd.,Chemicals,Small-Cap,December-2025,6,0.00
Mahanagar Telephone Nigam Ltd.,Media and Communications,Small-Cap,December-2025,18,0.00
DCW Ltd.,Chemicals,Small-Cap,December-2025,10,0.00
Uflex Ltd.,FMCG,Small-Cap,December-2025,2,0.00
Hindustan Oil Exploration Company Ltd.,Energy,Small-Cap,December-2025,7,0.00
Sundrop Brands Ltd.,FMCG,Small-Cap,December-2025,1,0.00
Jindal Poly Films Ltd.,Textile,Small-Cap,December-2025,1,0.00
Morepen Laboratories Ltd.,Healthcare,Small-Cap,December-2025,340,0.00
Heidelberg Cement India Ltd.,Construction,Small-Cap,December-2025,5,0.00
Raymond Ltd.,Travel,Small-Cap,December-2025,91,0.00
Swaraj Engines Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,1,0.00
Timex Group India Ltd.,Consumer Durables,Small-Cap,December-2025,3,0.00
Mukand Ltd.,Metals,Small-Cap,December-2025,2,0.00
Novartis India Ltd.,Miscellaneous,Small-Cap,December-2025,6,0.00
Nocil Ltd.,Chemicals,Small-Cap,December-2025,7,0.00
Seshasayee Paper and Boards Ltd.,FMCG,Small-Cap,December-2025,1,0.00
Nelco Ltd.,Consumer Durables,Small-Cap,December-2025,1,0.00
Responsive Industries Ltd.,Consumer Durables,Small-Cap,December-2025,3,0.00
Grauer & Weil (India) Ltd.,Chemicals,Small-Cap,December-2025,9,0.00
Federal-Mogul Goetze (India) Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,1,0.00
WPIL Ltd.,Capital Goods,Small-Cap,December-2025,1,0.00
Prakash Industries Ltd.,Metals,Small-Cap,December-2025,7,0.00
Bliss GVS Pharma Ltd.,Healthcare,Small-Cap,December-2025,64,0.00
Alembic Ltd.,Construction,Small-Cap,December-2025,5,0.00
Fermenta Biotech Ltd.,Healthcare,Small-Cap,December-2025,8,0.00
GOCL Corporation Ltd.,Chemicals,Small-Cap,December-2025,8,0.00
Unichem Laboratories Ltd.,Healthcare,Small-Cap,December-2025,21,0.00
Gujarat Themis Biosyn Ltd.,Healthcare,Small-Cap,December-2025,29,0.00
Cosmo First Ltd.,Consumer Durables,Small-Cap,December-2025,1,0.00
Navneet Education Ltd.,Media and Communications,Small-Cap,December-2025,6,0.00
Kothari Industrial Corporation Ltd.,Chemicals,Small-Cap,December-2025,41,0.00
Jai Corp Ltd.,Consumer Durables,Small-Cap,December-2025,3,0.00
SG Mart Ltd.,Miscellaneous,Small-Cap,December-2025,4,0.00
Himatsingka Seide Ltd.,Textile,Small-Cap,December-2025,5,0.00
Sangam (India) Ltd.,Textile,Small-Cap,December-2025,1,0.00
Gujarat Industries Power Company Ltd.,Energy,Small-Cap,December-2025,4,0.00
Vadilal Industries Ltd.,FMCG,Small-Cap,December-2025,1,0.00
Shanthi Gears Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,2,0.00
HLE Glascoat Ltd.,Capital Goods,Small-Cap,December-2025,3,0.00
Mayur Uniquoters Ltd.,FMCG,Small-Cap,December-2025,1,0.00
EIH Associated Hotels Ltd.,Travel,Small-Cap,December-2025,1,0.00
Morganite Crucible (India) Ltd.,Capital Goods,Small-Cap,December-2025,16,0.00
Balmer Lawrie & Company Ltd.,Diversified,Small-Cap,December-2025,4,0.00
Ashiana Housing Ltd.,Construction,Small-Cap,December-2025,3,0.00
IOL Chemicals And Pharmaceuticals Ltd.,Healthcare,Small-Cap,December-2025,111,0.00
Wanbury Ltd.,Healthcare,Small-Cap,December-2025,17,0.00
Kopran Ltd.,Healthcare,Small-Cap,December-2025,23,0.00
Vimta Labs Ltd.,Miscellaneous,Small-Cap,December-2025,34,0.00
Syncom Formulations (India) Ltd.,Healthcare,Small-Cap,December-2025,418,0.00
KMC Speciality Hospitals (India) Ltd.,Healthcare,Small-Cap,December-2025,33,0.00
NACL Industries Ltd.,Chemicals,Small-Cap,December-2025,68,0.00
Panama Petrochem Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,2,0.00
Goldiam International Ltd.,Retail and Other Services,Small-Cap,December-2025,12,0.00
Confidence Petroleum India Ltd.,Energy,Small-Cap,December-2025,10,0.00
63 Moons Technologies Ltd.,Technology,Small-Cap,December-2025,2,0.00
Gujarat Alkalies And Chemicals Ltd.,Chemicals,Small-Cap,December-2025,1,0.00
Sanghvi Movers Ltd.,Logistics,Small-Cap,December-2025,3,0.00
Themis Medicare Ltd.,Healthcare,Small-Cap,December-2025,27,0.00
Suven Life Sciences Ltd.,Healthcare,Small-Cap,December-2025,171,0.00
Piccadily Agro Industries Ltd.,FMCG,Small-Cap,December-2025,67,0.00
Genus Power Infrastructures Ltd.,Capital Goods,Small-Cap,December-2025,8,0.00
Goodluck India Ltd.,Metals,Small-Cap,December-2025,1,0.00
Nucleus Software Exports Ltd.,Technology,Small-Cap,December-2025,1,0.00
Panacea Biotec Ltd.,Healthcare,Small-Cap,December-2025,14,0.00
Eveready Industries India Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,1,0.00
Lincoln Pharmaceuticals Ltd.,Healthcare,Small-Cap,December-2025,8,0.00
Vidhi Specialty Food Ingredients Ltd.,Chemicals,Small-Cap,December-2025,2,0.00
Apollo Pipes Ltd.,Consumer Durables,Small-Cap,December-2025,5,0.00
Sindhu Trade Links Ltd.,Logistics,Small-Cap,December-2025,25,0.00
3B Blackbio Dx Ltd.,Healthcare,Small-Cap,December-2025,3,0.00
Indraprastha Medical Corporation Ltd.,Healthcare,Small-Cap,December-2025,44,0.00
India Tourism Development Corporation Ltd.,Travel,Small-Cap,December-2025,1,0.00
PNB Gilts Ltd.,Financials,Small-Cap,December-2025,3,0.00
Ramco Industries Ltd.,Construction,Small-Cap,December-2025,2,0.00
Axiscades Technologies Ltd.,Technology,Small-Cap,December-2025,2,0.00
BF Utilities Ltd.,Energy,Small-Cap,December-2025,1,0.00
Pokarna Ltd.,Construction,Small-Cap,December-2025,1,0.00
Indoco Remedies Ltd.,Healthcare,Small-Cap,December-2025,37,0.00
Nectar Lifesciences Ltd.,Healthcare,Small-Cap,December-2025,78,0.00
Globus Spirits Ltd.,FMCG,Small-Cap,December-2025,1,0.00
SEPC Ltd.,Infrastructure,Small-Cap,December-2025,186,0.00
Kiri Industries Ltd.,Chemicals,Small-Cap,December-2025,3,0.00
RPG Life Sciences Ltd.,Healthcare,Small-Cap,December-2025,6,0.00
Dollar Industries Ltd.,Textile,Small-Cap,December-2025,1,0.00
Sastasundar Ventures Ltd.,Financials,Small-Cap,December-2025,7,0.00
Rama Steel Tubes Ltd.,Metals,Small-Cap,December-2025,389,0.00
Ramky Infrastructure Ltd.,Infrastructure,Small-Cap,December-2025,1,0.00
Tamilnad Mercantile Bank Ltd.,Financials,Small-Cap,December-2025,7,0.00
Happy Forgings Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,1,0.00
Fineotex Chemical Ltd.,Chemicals,Small-Cap,December-2025,27,0.00
Keystone Realtors Ltd,Construction,Small-Cap,December-2025,2,0.00
Hathway Cable & Datacom Ltd.,Media and Communications,Small-Cap,December-2025,28,0.00
Tarsons Products Ltd.,Consumer Durables,Small-Cap,December-2025,15,0.00
Sai Silks (Kalamandir) Ltd.,Retail and Other Services,Small-Cap,December-2025,3,0.00
Den Networks Ltd.,Media and Communications,Small-Cap,December-2025,7,0.00
Cantabil Retail India Ltd.,Textile,Small-Cap,December-2025,1,0.00
BF Investment Ltd.,Financials,Small-Cap,December-2025,1,0.00
Quick Heal Technologies Ltd.,Technology,Small-Cap,December-2025,1,0.00
Tatva Chintan Pharma Chem Ltd.,Chemicals,Small-Cap,December-2025,1,0.00
Parag Milk Foods Ltd.,FMCG,Small-Cap,December-2025,19,0.00
SG Finserve Ltd.,Financials,Small-Cap,December-2025,3,0.00
Rossari Biotech Ltd.,Chemicals,Small-Cap,December-2025,1,0.00
Indostar Capital Finance Ltd.,Financials,Small-Cap,December-2025,2,0.00
Shalby Ltd.,Healthcare,Small-Cap,December-2025,25,0.00
JTL Industries Ltd,Metals,Small-Cap,December-2025,63,0.00
IFGL Refractories Ltd.,Capital Goods,Small-Cap,December-2025,1,0.00
Magellanic Cloud Ltd.,Technology,Small-Cap,December-2025,15,0.00
Ideaforge Technology Ltd.,Capital Goods,Small-Cap,December-2025,4,0.00
Suraksha Diagnostic Ltd.,Healthcare,Small-Cap,December-2025,19,0.00
PDS Ltd.,Miscellaneous,Small-Cap,December-2025,3,0.00
Uniparts India Ltd.,Capital Goods,Small-Cap,December-2025,1,0.00
Gokul Agro Resources Ltd.,FMCG,Small-Cap,December-2025,5,0.00
Kwality Pharmaceuticals Ltd.,Healthcare,Small-Cap,December-2025,2,0.00
Muthoot Microfin Ltd.,Financials,Small-Cap,December-2025,2,0.00
PSP Projects Ltd.,Construction,Small-Cap,December-2025,2,0.00
Capacit'e Infraprojects Ltd.,Construction,Small-Cap,December-2025,3,0.00
Shree Ganesh Remedies Ltd.,Healthcare,Small-Cap,December-2025,3,0.00
SIRCA Paints India Ltd.,Miscellaneous,Small-Cap,December-2025,4,0.00
Solara Active Pharma Sciences Ltd.,Healthcare,Small-Cap,December-2025,29,0.00
Hindware Home Innovation Ltd.,Miscellaneous,Small-Cap,December-2025,3,0.00
Sigachi Industries Ltd.,Chemicals,Small-Cap,December-2025,966,0.00
India Pesticides Ltd.,Chemicals,Small-Cap,December-2025,2,0.00
Meghmani Organics Ltd.,Chemicals,Small-Cap,December-2025,9,0.00
Fino Payments Bank Ltd.,Financials,Small-Cap,December-2025,2,0.00
DCX Systems Ltd.,Capital Goods,Small-Cap,December-2025,3,0.00
EMS Ltd.,Infrastructure,Small-Cap,December-2025,1,0.00
