Stock Name,Sector,Classification,Month,Net Qty Bought,Approx. Buy Value(In Rs. cr) *
Havells India Ltd.,Capital Goods,Mid-Cap,December-2025,1505988,215.87
City Union Bank Ltd.,Financials,Small-Cap,December-2025,7480474,210.16
Piramal Pharma Ltd.,Healthcare,Small-Cap,December-2025,11670940,209.74
RBL Bank Ltd.,Financials,Small-Cap,December-2025,6667651,209.43
Supreme Industries Ltd.,Consumer Durables,Mid-Cap,December-2025,617945,208.41
Wipro Ltd.,Technology,Large-Cap,December-2025,8117020,208.12
JK Cement Ltd.,Construction,Mid-Cap,December-2025,364374,205.67
Ujjivan Small Finance Bank Ltd.,Financials,Small-Cap,December-2025,38212530,205.24
Ashok Leyland Ltd.,Automobile and Ancillaries,Mid-Cap,December-2025,12163654,205.15
Zydus Lifesciences Ltd.,Healthcare,Mid-Cap,December-2025,2182645,202.64
Container Corporation Of India Ltd.,Logistics,Mid-Cap,December-2025,3860356,200.01
Samvardhana Motherson International Ltd.,Automobile and Ancillaries,Large-Cap,December-2025,16646921,196.64
PNB Housing Finance Ltd.,Financials,Small-Cap,December-2025,2094542,194.46
Info Edge (India) Ltd.,Technology,Mid-Cap,December-2025,1457027,194.06
Ipca Laboratories Ltd.,Healthcare,Mid-Cap,December-2025,1341921,192.70
Tata Capital Ltd.,Financials,Large-Cap,December-2025,5681259,190.25
Dr. Lal Pathlabs Ltd.,Healthcare,Small-Cap,December-2025,1255971,188.93
Cholamandalam Financial Holdings Ltd.,Financials,Mid-Cap,December-2025,1010931,184.95
Vijaya Diagnostic Centre Ltd.,Healthcare,Small-Cap,December-2025,1783450,183.61
Whirlpool Of India Ltd.,Consumer Durables,Small-Cap,December-2025,1791387,176.56
LG Electronics India Ltd.,Consumer Durables,Large-Cap,December-2025,1072092,170.50
Tata Motors Ltd.,Automobile and Ancillaries,Large-Cap,December-2025,4384019,168.24
IndusInd Bank Ltd.,Financials,Mid-Cap,December-2025,1928465,166.11
NBCC (India) Ltd.,Capital Goods,Small-Cap,December-2025,13737341,163.79
Ather Energy Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,2146104,158.03
Tega Industries Ltd.,Capital Goods,Small-Cap,December-2025,809457,156.73
Sudeep Pharma Ltd.,Healthcare,Small-Cap,December-2025,2266058,156.01
Pine Labs Ltd.,Financials,Small-Cap,December-2025,6175468,151.02
United Breweries Ltd.,FMCG,Mid-Cap,December-2025,904070,149.73
Prestige Estates Projects Ltd.,Construction,Mid-Cap,December-2025,908372,148.61
Cohance Lifesciences Ltd.,Healthcare,Small-Cap,December-2025,2709464,148.07
Nephrocare Health Services Ltd.,Healthcare,Small-Cap,December-2025,3122459,146.35
Alivus Life Sciences Ltd.,Healthcare,Small-Cap,December-2025,1610227,146.14
Thermax Ltd.,Capital Goods,Mid-Cap,December-2025,485513,144.26
DLF Ltd.,Construction,Large-Cap,December-2025,2018502,142.41
KPIT Technologies Ltd.,Technology,Small-Cap,December-2025,1186311,142.05
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,Small-Cap,December-2025,5431423,140.57
Indiamart Intermesh Ltd.,Retail and Other Services,Small-Cap,December-2025,602085,136.48
Sundaram Finance Ltd.,Financials,Mid-Cap,December-2025,267780,134.04
Cigniti Technologies Ltd.,Technology,Small-Cap,December-2025,742458,129.70
Five-Star Business Finance Ltd.,Financials,Small-Cap,December-2025,2259587,128.37
Blue Star Ltd.,Consumer Durables,Mid-Cap,December-2025,723991,126.56
Medi Assist Healthcare Services Ltd.,Miscellaneous,Small-Cap,December-2025,2664870,124.50
Tata Chemicals Ltd.,Chemicals,Small-Cap,December-2025,1584177,124.04
Affle 3i Ltd.,Technology,Small-Cap,December-2025,710155,122.87
Nuvama Wealth Management Ltd.,Financials,Small-Cap,December-2025,825221,122.67
Coforge Ltd.,Technology,Mid-Cap,December-2025,681709,121.74
Delhivery Ltd.,Logistics,Small-Cap,December-2025,2868663,119.06
Mastek Ltd.,Technology,Small-Cap,December-2025,542982,115.78
Emmvee Photovoltaic Power Ltd.,Construction,Small-Cap,December-2025,5628591,115.28
Birlasoft Ltd.,Technology,Small-Cap,December-2025,2833574,115.26
Pearl Global Industries Ltd.,Textile,Small-Cap,December-2025,691679,114.11
CMS Info Systems Ltd.,Miscellaneous,Small-Cap,December-2025,3279665,113.88
Dodla Dairy Ltd,FMCG,Small-Cap,December-2025,890239,112.64
Yes Bank Ltd.,Financials,Mid-Cap,December-2025,50070022,111.48
Hyundai Motor India Ltd.,Automobile and Ancillaries,Large-Cap,December-2025,476827,110.24
KEC International Ltd.,Infrastructure,Small-Cap,December-2025,1541619,109.74
SBI Life Insurance Company Ltd.,Financials,Large-Cap,December-2025,524015,104.83
Neuland Laboratories Ltd.,Healthcare,Small-Cap,December-2025,64077,104.01
Aptus Value Housing Finance India Ltd.,Financials,Small-Cap,December-2025,3645065,101.73
Aavas Financiers Ltd.,Financials,Small-Cap,December-2025,668259,100.59
Zensar Technologies Ltd.,Technology,Small-Cap,December-2025,1327405,96.46
Godrej Industries Ltd.,Chemicals,Mid-Cap,December-2025,935809,96.11
Ajanta Pharma Ltd.,Healthcare,Small-Cap,December-2025,359120,95.70
Dalmia Bharat Ltd.,Construction,Mid-Cap,December-2025,461311,95.50
Max Healthcare Institute Ltd.,Healthcare,Large-Cap,December-2025,828281,91.44
Canara HSBC Life Insurance Company Ltd.,Financials,Small-Cap,December-2025,6518506,88.39
Fusion Finance Ltd.,Financials,Small-Cap,December-2025,5405825,87.78
Tata Motors Passenger Vehicles Ltd.,Automobile and Ancillaries,Large-Cap,December-2025,2412990,87.37
Global Health Ltd.,Healthcare,Mid-Cap,December-2025,716595,87.15
Vidya Wires Ltd.,Capital Goods,Small-Cap,December-2025,17493396,87.03
Tenneco Clean Air India Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,1753278,86.95
Bikaji Foods International Ltd.,FMCG,Small-Cap,December-2025,1165070,85.45
Narayana Hrudayalaya Ltd.,Healthcare,Mid-Cap,December-2025,438743,84.18
Kirloskar Oil Engines Ltd.,Capital Goods,Small-Cap,December-2025,712191,83.46
Metropolis Healthcare Ltd.,Healthcare,Small-Cap,December-2025,428370,82.67
The Great Eastern Shipping Company Ltd.,Logistics,Small-Cap,December-2025,717738,80.24
Blue Dart Express Ltd.,Logistics,Small-Cap,December-2025,138943,78.09
Torrent Power Ltd.,Energy,Mid-Cap,December-2025,591435,77.51
Equitas Small Finance Bank Ltd.,Financials,Small-Cap,December-2025,12180868,77.44
Gland Pharma Ltd.,Healthcare,Small-Cap,December-2025,442997,77.12
Waaree Energies Ltd.,Capital Goods,Mid-Cap,December-2025,245916,75.50
ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,52794,74.13
Britannia Industries Ltd.,FMCG,Large-Cap,December-2025,123790,73.51
Westlife Foodworld Ltd,Retail and Other Services,Small-Cap,December-2025,1302915,73.47
PI Industries Ltd.,Chemicals,Mid-Cap,December-2025,220900,73.27
Force Motors Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,38062,73.05
Sai Life Sciences Ltd.,Healthcare,Small-Cap,December-2025,813274,72.90
Usha Martin Ltd.,Metals,Small-Cap,December-2025,1646943,72.62
Azad Engineering Ltd.,Capital Goods,Small-Cap,December-2025,431414,71.90
Max Financial Services Ltd.,Financials,Mid-Cap,December-2025,422391,71.26
Senores Pharmaceuticals Ltd.,Healthcare,Small-Cap,December-2025,858471,70.65
General Insurance Corporation of India,Financials,Mid-Cap,December-2025,1820145,69.89
Poonawalla Fincorp Ltd.,Financials,Mid-Cap,December-2025,1436094,69.17
Sona BLW Precision Forgings Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,1395590,69.16
Onesource Specialty Pharma Ltd.,Healthcare,Small-Cap,December-2025,399551,66.78
Indian Bank,Financials,Mid-Cap,December-2025,770293,65.76
Acme Solar Holdings Ltd.,Energy,Small-Cap,December-2025,2811442,65.74
Oil India Ltd.,Energy,Mid-Cap,December-2025,1564837,65.53
REC Ltd.,Financials,Mid-Cap,December-2025,1787769,64.15
Nestle India Ltd.,FMCG,Large-Cap,December-2025,500205,63.75
Max Estates Ltd.,Construction,Small-Cap,December-2025,1342026,62.73
GAIL (India) Ltd.,Energy,Large-Cap,December-2025,3573203,62.22
Gujarat Fluorochemicals Ltd.,Chemicals,Mid-Cap,December-2025,172128,61.02
Thangamayil Jewellery Ltd.,Retail and Other Services,Small-Cap,December-2025,188387,61.00
LT Foods Ltd.,FMCG,Small-Cap,December-2025,1515864,60.46
Sagility Ltd.,Miscellaneous,Small-Cap,December-2025,11835251,60.42
Orkla India Ltd.,FMCG,Small-Cap,December-2025,920533,59.07
Apollo Hospitals Enterprise Ltd.,Healthcare,Large-Cap,December-2025,81339,58.47
Inventurus Knowledge Solutions Ltd.,Technology,Small-Cap,December-2025,347444,58.00
BlackBuck Ltd.,Logistics,Small-Cap,December-2025,849640,57.24
Inox Green Energy Services Ltd.,Infrastructure,Small-Cap,December-2025,2669090,57.23
Capillary Technologies India Ltd.,Technology,Small-Cap,December-2025,864008,56.90
Gabriel India Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,523407,53.35
Saatvik Green Energy Ltd.,Capital Goods,Small-Cap,December-2025,1335391,52.58
Godrej Properties Ltd.,Construction,Mid-Cap,December-2025,254548,52.42
Le Travenues Technology Ltd.,Travel,Small-Cap,December-2025,2008946,52.42
Triveni Turbine Ltd.,Capital Goods,Small-Cap,December-2025,969054,52.09
Aadhar Housing Finance Ltd.,Financials,Small-Cap,December-2025,1077994,52.08
Aurobindo Pharma Ltd.,Healthcare,Mid-Cap,December-2025,428844,51.67
Craftsman Automation Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,70079,51.56
L&T Finance Ltd.,Financials,Mid-Cap,December-2025,1544753,48.53
OLA Electric Mobility Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,11672406,45.20
HDB Financial Services Ltd.,Financials,Mid-Cap,December-2025,588182,45.08
JSW Cement Ltd.,Construction,Small-Cap,December-2025,3842429,44.88
Wockhardt Ltd.,Healthcare,Small-Cap,December-2025,324680,43.53
The South Indian Bank Ltd.,Financials,Small-Cap,December-2025,11124871,43.33
Jindal Stainless Ltd.,Metals,Mid-Cap,December-2025,537409,43.27
