Stock Name,Sector,Classification,Month,Net Qty Sold,Approx. Sell Value(In Rs. cr) *
Kwality Wall's (India) Ltd.,FMCG,Small-Cap,February-2026,47996128,162.56
LTM Ltd.,Technology,Large-Cap,February-2026,304067,158.67
Kaynes Technology India Ltd.,Capital Goods,Small-Cap,February-2026,428195,156.97
ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,100383,151.34
BlackBuck Ltd.,Logistics,Small-Cap,February-2026,2601382,148.64
CG Power and Industrial Solutions Ltd.,Capital Goods,Large-Cap,February-2026,2204581,144.32
The Great Eastern Shipping Company Ltd.,Logistics,Small-Cap,February-2026,1090417,138.55
Lemon Tree Hotels Ltd.,Travel,Small-Cap,February-2026,11344179,137.7
Karur Vysya Bank Ltd.,Financials,Small-Cap,February-2026,4374740,137.28
Granules India Ltd.,Healthcare,Small-Cap,February-2026,2327590,134.17
Nuvama Wealth Management Ltd.,Financials,Small-Cap,February-2026,981889,127.17
Star Cement Ltd.,Construction,Small-Cap,February-2026,5829384,126.55
Alkem Laboratories Ltd.,Healthcare,Mid-Cap,February-2026,221129,125.13
NBCC (India) Ltd.,Capital Goods,Small-Cap,February-2026,12893609,123.48
Mazagon Dock Shipbuilders Ltd.,Automobile and Ancillaries,Mid-Cap,February-2026,510935,122.57
Kirloskar Oil Engines Ltd.,Capital Goods,Small-Cap,February-2026,874879,112.3
KPIT Technologies Ltd.,Technology,Small-Cap,February-2026,1162844,105.41
Voltas Ltd.,Consumer Durables,Mid-Cap,February-2026,712166,102.88
AU Small Finance Bank Ltd.,Financials,Mid-Cap,February-2026,1045667,101.47
Delhivery Ltd.,Logistics,Small-Cap,February-2026,2343116,100.33
Housing & Urban Development Corporation Ltd.,Financials,Mid-Cap,February-2026,5186893,98.14
Patanjali Foods Ltd.,FMCG,Mid-Cap,February-2026,1946003,98.12
AWL Agri Business Ltd.,FMCG,Small-Cap,February-2026,4777564,96.28
Indian Energy Exchange Ltd.,Energy,Small-Cap,February-2026,7515656,94.86
Ceat Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,250322,91.28
Oracle Financial Services Software Ltd.,Technology,Mid-Cap,February-2026,119855,88.05
Life Insurance Corporation of India,Financials,Large-Cap,February-2026,1011759,84.68
Godfrey Phillips India Ltd.,FMCG,Mid-Cap,February-2026,401322,83.29
Bharat Dynamics Ltd.,Capital Goods,Mid-Cap,February-2026,583321,81.76
JK Lakshmi Cement Ltd.,Construction,Small-Cap,February-2026,1084805,80.83
RR Kabel Ltd.,Capital Goods,Small-Cap,February-2026,522920,76.77
Clean Science And Technology Ltd.,Chemicals,Small-Cap,February-2026,951496,75.94
Jubilant FoodWorks Ltd.,FMCG,Mid-Cap,February-2026,1493053,75.92
The Phoenix Mills Ltd.,Construction,Mid-Cap,February-2026,453874,75.55
Nirlon Ltd.,Infrastructure,Small-Cap,February-2026,1427423,71.17
Firstsource Solutions Ltd.,Technology,Small-Cap,February-2026,2594950,69.16
eClerx Services Ltd.,Technology,Small-Cap,February-2026,170462,66.68
PI Industries Ltd.,Chemicals,Mid-Cap,February-2026,205518,64.87
Ajanta Pharma Ltd.,Healthcare,Mid-Cap,February-2026,222397,64.23
Route Mobile Ltd.,Technology,Small-Cap,February-2026,1138170,62.78
PNC Infratech Ltd.,Infrastructure,Small-Cap,February-2026,2845780,60.47
Hindustan Copper Ltd.,Metals,Mid-Cap,February-2026,963295,60.31
OLA Electric Mobility Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,20843496,59.98
