Stock Name,Sector,Classification,Month,Net Qty Sold,Approx. Sell Value(In Rs. cr) *
Gillette India Ltd.,FMCG,Small-Cap,February-2026,3022,2.59
Borosil Renewables Ltd.,Construction,Small-Cap,February-2026,53330,2.53
Gujarat State Petronet Ltd.,Energy,Small-Cap,February-2026,82863,2.52
Ion Exchange (India) Ltd.,Miscellaneous,Small-Cap,February-2026,69032,2.48
MM Forgings Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,56739,2.46
Digitide Solutions Ltd.,Technology,Small-Cap,February-2026,230511,2.45
Rashi Peripherals Ltd.,Miscellaneous,Small-Cap,February-2026,66923,2.44
Euro Pratik Sales Ltd.,Construction,Small-Cap,February-2026,103578,2.43
Elantas Beck India Ltd.,Chemicals,Small-Cap,February-2026,2767,2.38
TTK Prestige Ltd.,Consumer Durables,Small-Cap,February-2026,41786,2.32
Shyam Metalics And Energy Ltd.,Metals,Small-Cap,February-2026,26162,2.25
Strides Pharma Science Ltd.,Healthcare,Small-Cap,February-2026,25925,2.24
Symphony Ltd.,Miscellaneous,Small-Cap,February-2026,25999,2.23
KRN Heat Exchanger And Refrigeration Ltd.,Capital Goods,Small-Cap,February-2026,26854,2.2
Utkarsh Small Finance Bank Ltd.,Financials,Small-Cap,February-2026,1573277,2.16
Redtape Ltd.,Retail and Other Services,Small-Cap,February-2026,179549,2.16
Vesuvius India Ltd.,Capital Goods,Small-Cap,February-2026,42714,2.13
La Opala RG Ltd.,Construction,Small-Cap,February-2026,105258,2.11
Simplex Infrastructures Ltd.,Infrastructure,Small-Cap,February-2026,98875,2.1
Onward Technologies Ltd.,Technology,Small-Cap,February-2026,68683,2.05
Medi Assist Healthcare Services Ltd.,Miscellaneous,Small-Cap,February-2026,49773,1.92
Chennai Petroleum Corporation Ltd.,Energy,Small-Cap,February-2026,20811,1.9
Allied Blenders And Distillers Ltd.,FMCG,Small-Cap,February-2026,38010,1.83
Emmvee Photovoltaic Power Ltd.,Construction,Small-Cap,February-2026,93969,1.82
TVS Srichakra Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,4439,1.78
IFB Industries Ltd.,Consumer Durables,Small-Cap,February-2026,15860,1.76
Sanofi India Ltd.,Healthcare,Small-Cap,February-2026,4369,1.74
Somany Ceramics Ltd.,Construction,Small-Cap,February-2026,41938,1.72
Exicom Tele-Systems Ltd.,Capital Goods,Small-Cap,February-2026,178060,1.71
Orient Electric Ltd.,Consumer Durables,Small-Cap,February-2026,91313,1.66
GHCL Textiles Ltd.,Textile,Small-Cap,February-2026,214838,1.64
Nazara Technologies Ltd.,Technology,Small-Cap,February-2026,58803,1.61
Ajax Engineering Ltd.,Capital Goods,Small-Cap,February-2026,32036,1.61
IFGL Refractories Ltd.,Capital Goods,Small-Cap,February-2026,88354,1.57
Updater Services Ltd.,Miscellaneous,Small-Cap,February-2026,92616,1.43
Rossell Techsys Ltd.,Capital Goods,Small-Cap,February-2026,19883,1.4
Insecticides (India) Ltd.,Chemicals,Small-Cap,February-2026,22501,1.37
Baazar Style Retail Ltd.,Retail and Other Services,Small-Cap,February-2026,41450,1.31
Affle 3i Ltd.,Technology,Small-Cap,February-2026,8722,1.28
Advent Hotels International Ltd.,Travel,Small-Cap,February-2026,61700,1.23
Aeroflex Industries Ltd.,Metals,Small-Cap,February-2026,58635,1.21
Veranda Learning Solutions Ltd.,Retail and Other Services,Small-Cap,February-2026,58468,1.13
Dr Agarwals Eye Hospital Ltd.,Healthcare,Small-Cap,February-2026,2424,1.12
Kirloskar Industries Ltd.,Capital Goods,Small-Cap,February-2026,3350,1.01
RK Swamy Ltd.,Media and Communications,Small-Cap,February-2026,96082,0.99
Suprajit Engineering Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,20866,0.93
Heidelberg Cement India Ltd.,Construction,Small-Cap,February-2026,54888,0.92
Smartworks Coworking Spaces Ltd.,Miscellaneous,Small-Cap,February-2026,19488,0.85
Hi-Tech Pipes Ltd.,Metals,Small-Cap,February-2026,102662,0.83
GFL Ltd.,Financials,Small-Cap,February-2026,174068,0.82
Chemplast Sanmar Ltd.,Chemicals,Small-Cap,February-2026,30207,0.76
Unichem Laboratories Ltd.,Healthcare,Small-Cap,February-2026,18810,0.68
Nocil Ltd.,Chemicals,Small-Cap,February-2026,46253,0.64
Ashoka Buildcon Ltd.,Infrastructure,Small-Cap,February-2026,46208,0.64
Senores Pharmaceuticals Ltd.,Healthcare,Small-Cap,February-2026,8218,0.64
LMW Ltd.,Textile,Small-Cap,February-2026,412,0.61
PTC India Financial Services Ltd.,Financials,Small-Cap,February-2026,190798,0.61
MAS Financial Services Ltd.,Financials,Small-Cap,February-2026,18815,0.61
Tinna Rubber And Infrastructure Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,8195,0.55
Taj GVK Hotels & Resorts Ltd.,Travel,Small-Cap,February-2026,14823,0.54
Zota Health Care Ltd.,Miscellaneous,Small-Cap,February-2026,4244,0.53
Kennametal India Ltd.,Capital Goods,Small-Cap,February-2026,2293,0.5
Elin Electronics Ltd.,Consumer Durables,Small-Cap,February-2026,35450,0.49
Tamil Nadu Newsprint & Papers Ltd.,FMCG,Small-Cap,February-2026,34813,0.47
Maharashtra Scooters Ltd.,Financials,Small-Cap,February-2026,338,0.45
Religare Enterprises Ltd.,Financials,Small-Cap,February-2026,19427,0.44
IRB Infrastructure Developers Ltd.,Infrastructure,Small-Cap,February-2026,105035,0.44
Cyient DLM Ltd.,Capital Goods,Small-Cap,February-2026,12061,0.41
Gujarat Pipavav Port Ltd.,Infrastructure,Small-Cap,February-2026,22654,0.39
Vishnu Chemicals Ltd.,Chemicals,Small-Cap,February-2026,7489,0.38
Hindustan Construction Company Ltd.,Infrastructure,Small-Cap,February-2026,184724,0.35
Alicon Castalloy Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,4947,0.35
TCI Express Ltd.,Logistics,Small-Cap,February-2026,6337,0.35
Gujarat State Fertilizers & Chemicals Ltd.,Chemicals,Small-Cap,February-2026,18527,0.33
Anirit Ventures Ltd.,Textile,Small-Cap,February-2026,84979,0.33
TSF Investments Ltd.,Financials,Small-Cap,February-2026,7975,0.33
Gujarat Narmada Valley Fertilizers & Chemicals Ltd,Chemicals,Small-Cap,February-2026,6919,0.32
KPI Green Energy Ltd.,Infrastructure,Small-Cap,February-2026,8311,0.32
Embassy Developments Ltd.,Construction,Small-Cap,February-2026,45258,0.29
Amrutanjan Health Care Ltd.,Healthcare,Small-Cap,February-2026,4966,0.29
PC Jeweller Ltd.,Retail and Other Services,Small-Cap,February-2026,279743,0.29
Credo Brands Marketing Ltd.,Miscellaneous,Small-Cap,February-2026,31573,0.28
Tanla Platforms Ltd.,Technology,Small-Cap,February-2026,5667,0.27
Stove Kraft Ltd.,Consumer Durables,Small-Cap,February-2026,5563,0.27
Chemtech Industrial Valves Ltd.,Capital Goods,Small-Cap,February-2026,37940,0.26
Aurionpro Solutions Ltd.,Technology,Small-Cap,February-2026,2742,0.25
Northern ARC Capital Ltd.,Financials,Small-Cap,February-2026,9709,0.25
AvenuesAI Ltd.,Financials,Small-Cap,February-2026,146339,0.24
EPL Ltd.,FMCG,Small-Cap,February-2026,11158,0.23
KRBL Ltd.,FMCG,Small-Cap,February-2026,6890,0.23
Welspun Enterprises Ltd.,Infrastructure,Small-Cap,February-2026,4852,0.23
Tips Music Ltd.,Media and Communications,Small-Cap,February-2026,3889,0.21
Lloyds Engineering Works Ltd.,Capital Goods,Small-Cap,February-2026,45679,0.21
Electrosteel Castings Ltd.,Metals,Small-Cap,February-2026,27888,0.2
Sterling and Wilson Renewable Energy Ltd.,Infrastructure,Small-Cap,February-2026,10610,0.2
Network 18 Media & Investments Ltd.,Media and Communications,Small-Cap,February-2026,54520,0.19
J Kumar Infraprojects Ltd.,Infrastructure,Small-Cap,February-2026,3427,0.19
RattanIndia Power Ltd.,Energy,Small-Cap,February-2026,227171,0.19
Waaree Renewable Technologies Ltd.,Infrastructure,Small-Cap,February-2026,2172,0.19
Websol Energy System Ltd.,Capital Goods,Small-Cap,February-2026,25901,0.18
Balu Forge Industries Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,3815,0.17
Shree Renuka Sugars Ltd.,FMCG,Small-Cap,February-2026,67458,0.17
Transrail Lighting Ltd.,Capital Goods,Small-Cap,February-2026,3282,0.17
Sunteck Realty Ltd.,Construction,Small-Cap,February-2026,4095,0.16
Dilip Buildcon Ltd.,Construction,Small-Cap,February-2026,3704,0.16
Jain Irrigation Systems Ltd.,Consumer Durables,Small-Cap,February-2026,42064,0.15
Lloyds Enterprises Ltd.,Miscellaneous,Small-Cap,February-2026,28166,0.15
Patel Engineering Ltd.,Infrastructure,Small-Cap,February-2026,54471,0.15
Kaveri Seed Company Ltd.,FMCG,Small-Cap,February-2026,1697,0.15
Jai Balaji Industries Ltd.,Metals,Small-Cap,February-2026,22110,0.15
Sunflag Iron And Steel Company Ltd.,Metals,Small-Cap,February-2026,5684,0.14
Thomas Cook (India) Ltd.,Travel,Small-Cap,February-2026,12411,0.14
Greaves Cotton Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,8582,0.14
Rane Holdings Ltd.,Financials,Small-Cap,February-2026,1097,0.14
Prism Johnson Ltd.,Construction,Small-Cap,February-2026,10440,0.13
Kitex Garments Ltd.,Textile,Small-Cap,February-2026,7188,0.13
Ganesh Housing Ltd.,Construction,Small-Cap,February-2026,1889,0.13
Mishra Dhatu Nigam Ltd.,Metals,Small-Cap,February-2026,3623,0.13
Dynamatic Technologies Ltd.,Capital Goods,Small-Cap,February-2026,128,0.12
Advanced Enzyme Technologies Ltd.,Healthcare,Small-Cap,February-2026,4042,0.12
Polyplex Corporation Ltd.,Consumer Durables,Small-Cap,February-2026,1282,0.11
Aarti Drugs Ltd.,Healthcare,Small-Cap,February-2026,3002,0.11
Vaibhav Global Ltd.,Retail and Other Services,Small-Cap,February-2026,4988,0.11
Refex Industries Ltd.,Energy,Small-Cap,February-2026,5093,0.11
Puravankara Ltd.,Construction,Small-Cap,February-2026,5032,0.11
Man InfraConstruction Ltd.,Infrastructure,Small-Cap,February-2026,10424,0.11
TVS Supply Chain Solutions Ltd.,Logistics,Small-Cap,February-2026,10589,0.11
Dishman Carbogen Amcis Ltd.,Healthcare,Small-Cap,February-2026,5418,0.11
Sagar Cements Ltd.,Construction,Small-Cap,February-2026,5344,0.1
Balaji Amines Ltd.,Chemicals,Small-Cap,February-2026,936,0.1
Sun Pharma Advanced Research Company Ltd.,Miscellaneous,Small-Cap,February-2026,7926,0.1
MSTC Ltd.,Miscellaneous,Small-Cap,February-2026,2081,0.1
Just Dial Ltd.,Miscellaneous,Small-Cap,February-2026,1645,0.1
Sadbhav Infrastructure Project Ltd.,Infrastructure,Small-Cap,February-2026,293284,0.1
Hemisphere Properties India Ltd.,Construction,Small-Cap,February-2026,7454,0.1
Easy Trip Planners Ltd.,Travel,Small-Cap,February-2026,137531,0.1
Kalyani Steels Ltd.,Metals,Small-Cap,February-2026,1288,0.09
Prince Pipes and Fittings Ltd.,Consumer Durables,Small-Cap,February-2026,3665,0.09
RattanIndia Enterprises Ltd.,Financials,Small-Cap,February-2026,26315,0.09
Share India Securities Ltd.,Financials,Small-Cap,February-2026,6459,0.09
Innova Captab Ltd.,Healthcare,Small-Cap,February-2026,1349,0.09
Bosch Home Comfort India Ltd.,Consumer Durables,Small-Cap,February-2026,579,0.08
National Fertilizers Ltd.,Chemicals,Small-Cap,February-2026,10525,0.08
Enviro Infra Engineers Ltd.,Infrastructure,Small-Cap,February-2026,4454,0.08
Lux Industries Ltd.,Textile,Small-Cap,February-2026,658,0.06
Imagicaaworld Entertainment Ltd.,Retail and Other Services,Small-Cap,February-2026,11919,0.06
Campus Activewear Ltd.,FMCG,Small-Cap,February-2026,2096,0.05
IRM Energy Ltd.,Energy,Small-Cap,February-2026,2231,0.05
Indo Borax & Chemicals Ltd.,Chemicals,Small-Cap,February-2026,1812,0.04
Jindal Worldwide Ltd.,Textile,Small-Cap,February-2026,12825,0.03
Dee Development Engineers Ltd,Capital Goods,Small-Cap,February-2026,1301,0.03
Greenlam Industries Ltd.,Construction,Small-Cap,February-2026,1363,0.03
RNIT AI Solutions Ltd.,Capital Goods,Small-Cap,February-2026,3468,0.01
Genus Power Infrastructures Ltd.,Capital Goods,Small-Cap,February-2026,303,0.01

Disclaimer -   All necessary precautions have been taken to avoid any error 
 lapse or insufficiency in preparing this report ; however ; no representations 
 or warranties are made (express or implied) as to the reliability 
 accuracy or completeness of such information. The Company cannot 
be held liable for the contents of this report or for any action taken on its basis.
