Stock Name,Sector,Classification,Month,Net Qty Sold,Approx. Sell Value(In Rs. cr) *
Technocraft Industries (India) Ltd.,Metals,Small-Cap,December-2025,7063,1.63
Exicom Tele-Systems Ltd.,Capital Goods,Small-Cap,December-2025,141884,1.63
Prince Pipes and Fittings Ltd.,Consumer Durables,Small-Cap,December-2025,59169,1.59
Mahindra Logistics Ltd.,Logistics,Small-Cap,December-2025,49297,1.58
Ion Exchange (India) Ltd.,Miscellaneous,Small-Cap,December-2025,42776,1.56
Motherson Sumi Wiring India Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,314902,1.48
Action Construction Equipment Ltd.,Logistics,Small-Cap,December-2025,15107,1.46
Forbes Precision Tools And Machine Parts Ltd.,Capital Goods,Small-Cap,December-2025,90844,1.46
Sarda Energy & Minerals Ltd.,Metals,Small-Cap,December-2025,27385,1.38
SJS Enterprises Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,8158,1.38
Cupid Ltd.,FMCG,Small-Cap,December-2025,32128,1.36
EPACK Durable Ltd.,Consumer Durables,Small-Cap,December-2025,48938,1.35
Subros Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,15187,1.31
Raymond Realty Ltd.,Construction,Small-Cap,December-2025,24359,1.25
Vinati Organics Ltd.,Chemicals,Small-Cap,December-2025,7275,1.15
Artemis Medicare Services Ltd.,Healthcare,Small-Cap,December-2025,40898,1.14
Garuda Construction & Engineering Ltd.,Construction,Small-Cap,December-2025,54317,1.1
Kennametal India Ltd.,Capital Goods,Small-Cap,December-2025,5079,1.09
DAM Capital Advisors Ltd.,Financials,Small-Cap,December-2025,47388,1.03
Utkarsh Small Finance Bank Ltd.,Financials,Small-Cap,December-2025,640131,1
KSR Footwear Ltd.,FMCG,Small-Cap,December-2025,300000,0.92
One97 Communications Ltd.,Financials,Mid-Cap,December-2025,6844,0.9
Seshaasai Technologies Ltd.,Financials,Small-Cap,December-2025,31220,0.89
Tracxn Technologies Ltd.,Technology,Small-Cap,December-2025,196999,0.85
SMS Pharmaceuticals Ltd.,Healthcare,Small-Cap,December-2025,26552,0.84
Kernex Microsystems (India) Ltd.,Capital Goods,Small-Cap,December-2025,7000,0.82
Rites Ltd.,Capital Goods,Small-Cap,December-2025,33882,0.81
GFL Ltd.,Financials,Small-Cap,December-2025,133681,0.8
Godawari Power And Ispat Ltd.,Metals,Small-Cap,December-2025,31794,0.8
MAS Financial Services Ltd.,Financials,Small-Cap,December-2025,23138,0.73
SpiceJet Ltd.,Travel,Small-Cap,December-2025,223286,0.7
West Coast Paper Mills Ltd.,FMCG,Small-Cap,December-2025,16599,0.7
Gem Aromatics Ltd.,Chemicals,Small-Cap,December-2025,37428,0.64
Tips Music Ltd.,Media and Communications,Small-Cap,December-2025,11406,0.63
Centum Electronics Ltd.,Capital Goods,Small-Cap,December-2025,2555,0.6
Greenlam Industries Ltd.,Construction,Small-Cap,December-2025,22098,0.55
LMW Ltd.,Textile,Small-Cap,December-2025,294,0.44
Embassy Developments Ltd.,Construction,Small-Cap,December-2025,64216,0.44
Strides Pharma Science Ltd.,Healthcare,Small-Cap,December-2025,4325,0.38
Onward Technologies Ltd.,Technology,Small-Cap,December-2025,11762,0.33
Hawkins Cookers Ltd.,Consumer Durables,Small-Cap,December-2025,350,0.28
Roto Pumps Ltd.,Capital Goods,Small-Cap,December-2025,39610,0.26
Nilkamal Ltd.,Consumer Durables,Small-Cap,December-2025,1720,0.24
JSW Holdings Ltd.,Financials,Small-Cap,December-2025,114,0.23
Tinna Rubber And Infrastructure Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,2500,0.2
Tamil Nadu Newsprint & Papers Ltd.,FMCG,Small-Cap,December-2025,12961,0.19
Sundaram-Clayton Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,1415,0.18
Texmaco Rail & Engineering Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,12746,0.17
Blue Jet Healthcare Ltd.,Healthcare,Small-Cap,December-2025,2849,0.16
Yuken India Ltd.,Capital Goods,Small-Cap,December-2025,1311,0.12
Surya Roshni Ltd.,Metals,Small-Cap,December-2025,4105,0.11
Northern ARC Capital Ltd.,Financials,Small-Cap,December-2025,4179,0.11
Orient Cement Ltd.,Construction,Small-Cap,December-2025,5896,0.1
Shivalik Bimetal Controls Ltd.,Metals,Small-Cap,December-2025,2114,0.09
Welspun Enterprises Ltd.,Infrastructure,Small-Cap,December-2025,1620,0.08
Kama Holdings Ltd.,Financials,Small-Cap,December-2025,231,0.07
Ircon International Ltd.,Infrastructure,Small-Cap,December-2025,2733,0.05
PTC India Ltd.,Energy,Small-Cap,December-2025,3250,0.05
Network 18 Media & Investments Ltd.,Media and Communications,Small-Cap,December-2025,11023,0.05
Excelsoft Technologies Ltd.,Retail and Other Services,Small-Cap,December-2025,4821,0.05
MMTC Ltd.,Miscellaneous,Small-Cap,December-2025,6509,0.04
Sheela Foam Ltd.,FMCG,Small-Cap,December-2025,644,0.04
Infibeam Avenues Ltd.,Financials,Small-Cap,December-2025,21015,0.04
GMR Power and Urban Infra Ltd.,Energy,Small-Cap,December-2025,3769,0.04
Electrosteel Castings Ltd.,Metals,Small-Cap,December-2025,4486,0.03
AGI Greenpac Ltd.,FMCG,Small-Cap,December-2025,335,0.03
Jain Irrigation Systems Ltd.,Consumer Durables,Small-Cap,December-2025,6866,0.03
Websol Energy System Ltd.,Capital Goods,Small-Cap,December-2025,3343,0.03
Shree Renuka Sugars Ltd.,FMCG,Small-Cap,December-2025,10771,0.03
J Kumar Infraprojects Ltd.,Infrastructure,Small-Cap,December-2025,552,0.03
Just Dial Ltd.,Miscellaneous,Small-Cap,December-2025,401,0.03
RattanIndia Power Ltd.,Energy,Small-Cap,December-2025,29503,0.03
Dilip Buildcon Ltd.,Construction,Small-Cap,December-2025,597,0.03
RattanIndia Enterprises Ltd.,Financials,Small-Cap,December-2025,6314,0.03
Waaree Renewable Technologies Ltd.,Infrastructure,Small-Cap,December-2025,281,0.03
Sterling and Wilson Renewable Energy Ltd.,Infrastructure,Small-Cap,December-2025,1563,0.03
Sunflag Iron And Steel Company Ltd.,Metals,Small-Cap,December-2025,884,0.02
Vindhya Telelinks Ltd.,Media and Communications,Small-Cap,December-2025,149,0.02
Kitex Garments Ltd.,Textile,Small-Cap,December-2025,1154,0.02
Polyplex Corporation Ltd.,Consumer Durables,Small-Cap,December-2025,212,0.02
Gujarat Ambuja Exports Ltd.,FMCG,Small-Cap,December-2025,1440,0.02
Ganesh Housing Ltd.,Construction,Small-Cap,December-2025,302,0.02
Puravankara Ltd.,Construction,Small-Cap,December-2025,815,0.02
Jai Balaji Industries Ltd.,Metals,Small-Cap,December-2025,2147,0.02
MSTC Ltd.,Miscellaneous,Small-Cap,December-2025,333,0.02
TVS Supply Chain Solutions Ltd.,Logistics,Small-Cap,December-2025,1679,0.02
KIOCL Ltd.,Energy,Small-Cap,December-2025,409,0.02
Dishman Carbogen Amcis Ltd.,Healthcare,Small-Cap,December-2025,798,0.02
Sadbhav Infrastructure Project Ltd.,Infrastructure,Small-Cap,December-2025,55398,0.02
Aeroflex Industries Ltd.,Metals,Small-Cap,December-2025,1290,0.02
Hemisphere Properties India Ltd.,Construction,Small-Cap,December-2025,1201,0.02
Easy Trip Planners Ltd.,Travel,Small-Cap,December-2025,33153,0.02
Enviro Infra Engineers Ltd.,Infrastructure,Small-Cap,December-2025,836,0.02
Kirloskar Industries Ltd.,Capital Goods,Small-Cap,December-2025,36,0.01
National Fertilizers Ltd.,Chemicals,Small-Cap,December-2025,1695,0.01
Balaji Amines Ltd.,Chemicals,Small-Cap,December-2025,105,0.01
Aurionpro Solutions Ltd.,Technology,Small-Cap,December-2025,49,0.01
Allcargo Logistics Ltd.,Logistics,Small-Cap,December-2025,4875,0.01
Refex Industries Ltd.,Energy,Small-Cap,December-2025,373,0.01
Lux Industries Ltd.,Textile,Small-Cap,December-2025,106,0.01
Imagicaaworld Entertainment Ltd.,Retail and Other Services,Small-Cap,December-2025,1900,0.01
Lloyds Engineering Works Ltd.,Capital Goods,Small-Cap,December-2025,1771,0.01

Disclaimer -   All necessary precautions have been taken to avoid any error 
 lapse or insufficiency in preparing this report ; however ; no representations 
 or warranties are made (express or implied) as to the reliability 
 accuracy or completeness of such information. The Company cannot 
be held liable for the contents of this report or for any action taken on its basis.
