Stock Name,Sector,Classification,Month,Net Qty Sold,Approx. Sell Value(In Rs. cr) *
Wheels India Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,25840,2.28
JTEKT India Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,143573,2.24
Anand Rathi Wealth Ltd.,Financials,Small-Cap,November-2025,7262,2.17
ICRA Ltd.,Miscellaneous,Small-Cap,November-2025,3294,2.08
One Mobikwik Systems Ltd.,Financials,Small-Cap,November-2025,82590,2.04
JK Tyre & Industries Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,45207,1.99
Jaro Institute of Technology Management and Research Ltd.,Retail and Other Services,Small-Cap,November-2025,28088,1.81
Privi Speciality Chemicals Ltd.,Chemicals,Small-Cap,November-2025,5492,1.66
Indian Metals & Ferro Alloys Ltd.,Metals,Small-Cap,November-2025,13001,1.66
Computer Age Management Services Ltd.,Financials,Small-Cap,November-2025,4188,1.64
Fedbank Financial Services Ltd,Financials,Small-Cap,November-2025,113426,1.64
Jayaswal Neco Industries Ltd.,Metals,Small-Cap,November-2025,205040,1.53
Campus Activewear Ltd.,FMCG,Small-Cap,November-2025,53887,1.5
India Glycols Ltd.,FMCG,Small-Cap,November-2025,14401,1.48
Yuken India Ltd.,Capital Goods,Small-Cap,November-2025,15553,1.46
Stove Kraft Ltd.,Consumer Durables,Small-Cap,November-2025,20518,1.44
Kernex Microsystems (India) Ltd.,Capital Goods,Small-Cap,November-2025,11662,1.42
Diamond Power Infrastructure Ltd.,Capital Goods,Small-Cap,November-2025,93154,1.41
Rallis India Ltd.,Chemicals,Small-Cap,November-2025,52414,1.37
Arman Financial Services Ltd.,Financials,Small-Cap,November-2025,8329,1.36
KRBL Ltd.,FMCG,Small-Cap,November-2025,34129,1.33
Dishman Carbogen Amcis Ltd.,Healthcare,Small-Cap,November-2025,48135,1.28
Star Cement Ltd.,Construction,Small-Cap,November-2025,52480,1.27
Juniper Hotels Ltd.,Travel,Small-Cap,November-2025,48151,1.24
Nilkamal Ltd.,Consumer Durables,Small-Cap,November-2025,8192,1.2
Innova Captab Ltd.,Healthcare,Small-Cap,November-2025,15506,1.2
Balkrishna Industries Ltd.,Automobile and Ancillaries,Mid-Cap,November-2025,5153,1.18
Chemplast Sanmar Ltd.,Chemicals,Small-Cap,November-2025,34153,1.17
Unicommerce eSolutions Ltd.,Technology,Small-Cap,November-2025,85171,1.1
VST Industries Ltd.,FMCG,Small-Cap,November-2025,41949,1.08
PTC Industries Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,583,1.03
Veranda Learning Solutions Ltd.,Retail and Other Services,Small-Cap,November-2025,45971,1.02
Oswal Pumps Ltd.,Capital Goods,Small-Cap,November-2025,15948,1.02
Ashoka Buildcon Ltd.,Infrastructure,Small-Cap,November-2025,49470,0.95
Vintage Coffee & Beverages Ltd.,Miscellaneous,Small-Cap,November-2025,58115,0.94
Forbes Precision Tools And Machine Parts Ltd.,Capital Goods,Small-Cap,November-2025,50301,0.89
Marathon Nextgen Realty Ltd.,Construction,Small-Cap,November-2025,15059,0.87
Engineers India Ltd.,Infrastructure,Small-Cap,November-2025,43008,0.86
Ahluwalia Contracts (India) Ltd.,Construction,Small-Cap,November-2025,8579,0.83
Onward Technologies Ltd.,Technology,Small-Cap,November-2025,23343,0.69
Navkar Corporation Ltd.,Logistics,Small-Cap,November-2025,63666,0.69
Elantas Beck India Ltd.,Chemicals,Small-Cap,November-2025,649,0.63
BLS International Services Ltd.,Miscellaneous,Small-Cap,November-2025,19545,0.63
RK Swamy Ltd.,Media and Communications,Small-Cap,November-2025,49011,0.62
Vardhman Special Steels Ltd.,Metals,Small-Cap,November-2025,21201,0.6
SJS Enterprises Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,3602,0.6
GFL Ltd.,Financials,Small-Cap,November-2025,94673,0.59
Supriya Lifescience Ltd.,Healthcare,Small-Cap,November-2025,7549,0.58
Concord Enviro Systems Ltd.,Miscellaneous,Small-Cap,November-2025,12387,0.56
Exicom Tele-Systems Ltd.,Capital Goods,Small-Cap,November-2025,40570,0.51
Bharat Bijlee Ltd.,Capital Goods,Small-Cap,November-2025,1629,0.48
Nirlon Ltd.,Infrastructure,Small-Cap,November-2025,8185,0.41
Patel Engineering Ltd.,Infrastructure,Small-Cap,November-2025,97933,0.36
AGI Greenpac Ltd.,FMCG,Small-Cap,November-2025,4364,0.35
Geojit Financial Services Ltd.,Financials,Small-Cap,November-2025,30516,0.23
Paras Defence And Space Technologies Ltd.,Capital Goods,Small-Cap,November-2025,2973,0.21
Bosch Home Comfort India Ltd.,Consumer Durables,Small-Cap,November-2025,1071,0.18
Sadbhav Infrastructure Project Ltd.,Infrastructure,Small-Cap,November-2025,483717,0.18
Unimech Aerospace and Manufacturing Ltd.,Capital Goods,Small-Cap,November-2025,1831,0.18
IRB Infrastructure Developers Ltd.,Infrastructure,Small-Cap,November-2025,35669,0.16
La Opala RG Ltd.,Construction,Small-Cap,November-2025,6511,0.15
Vindhya Telelinks Ltd.,Media and Communications,Small-Cap,November-2025,875,0.13
Shivalik Bimetal Controls Ltd.,Metals,Small-Cap,November-2025,2407,0.11
Roto Pumps Ltd.,Capital Goods,Small-Cap,November-2025,16366,0.11
Texmaco Rail & Engineering Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,8075,0.11
Kalpataru Ltd.,Construction,Small-Cap,November-2025,2500,0.09
Ador Welding Ltd.,Capital Goods,Small-Cap,November-2025,747,0.08
TTK Prestige Ltd.,Consumer Durables,Small-Cap,November-2025,1110,0.07
Vinati Organics Ltd.,Chemicals,Small-Cap,November-2025,71,0.01
Aeroflex Industries Ltd.,Metals,Small-Cap,November-2025,541,0.01
Hindware Home Innovation Ltd.,Consumer Durables,Small-Cap,November-2025,270,0.01
KRN Heat Exchanger And Refrigeration Ltd.,Capital Goods,Small-Cap,November-2025,170,0.01

Disclaimer -   All necessary precautions have been taken to avoid any error 
 lapse or insufficiency in preparing this report ; however ; no representations 
 or warranties are made (express or implied) as to the reliability 
 accuracy or completeness of such information. The Company cannot 
be held liable for the contents of this report or for any action taken on its basis.
