Stock Name,Sector,Classification,Month,Net Qty Sold,Approx. Sell Value(In Rs. cr) *
India Shelter Finance Corporation Ltd.,Financials,Small-Cap,November-2025,1050527,92.68
Life Insurance Corporation of India,Financials,Large-Cap,November-2025,1030093,92.15
REC Ltd.,Financials,Mid-Cap,November-2025,2463198,90.62
Bosch Ltd.,Automobile and Ancillaries,Large-Cap,November-2025,22683,83
Gujarat State Petronet Ltd.,Energy,Small-Cap,November-2025,2764965,82.55
Adani Power Ltd.,Energy,Large-Cap,November-2025,5257027,80.26
Fortis Healthcare Ltd.,Healthcare,Mid-Cap,November-2025,824728,80.09
IDFC First Bank Ltd.,Financials,Mid-Cap,November-2025,9886847,80.03
CCL Products (India) Ltd.,FMCG,Small-Cap,November-2025,851465,79.54
The Phoenix Mills Ltd.,Construction,Mid-Cap,November-2025,463867,79.31
UPL Ltd.,Chemicals,Mid-Cap,November-2025,1019373,75.37
Kajaria Ceramics Ltd.,Construction,Small-Cap,November-2025,648826,73.8
Ultratech Cement Ltd.,Construction,Large-Cap,November-2025,62322,73.37
Honeywell Automation India Ltd.,Consumer Durables,Small-Cap,November-2025,19777,71.09
Jain Resource Recycling Ltd.,Metals,Small-Cap,November-2025,1802868,70.71
Titagarh Rail Systems Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,819592,70.13
Nazara Technologies Ltd.,Technology,Small-Cap,November-2025,2669097,69.76
Syrma SGS Technology Ltd.,Capital Goods,Small-Cap,November-2025,833107,68.07
Blue Star Ltd.,Consumer Durables,Mid-Cap,November-2025,362683,67.15
Natco Pharma Ltd.,Healthcare,Small-Cap,November-2025,775134,65.78
TD Power Systems Ltd.,Capital Goods,Small-Cap,November-2025,847313,65.75
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,Mid-Cap,November-2025,246011,63.82
Shaily Engineering Plastics Ltd.,Consumer Durables,Small-Cap,November-2025,258884,63.12
Pricol Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,1077828,62.12
JSW Infrastructure Ltd.,Infrastructure,Mid-Cap,November-2025,2161009,60.53
Bharti Hexacom Ltd.,Media and Communications,Mid-Cap,November-2025,329241,59.74
Yatra Online Ltd,Travel,Small-Cap,November-2025,3672996,58.75
Schaeffler India Ltd.,Automobile and Ancillaries,Mid-Cap,November-2025,147947,58.59
Century Plyboards (India) Ltd.,Construction,Small-Cap,November-2025,748147,58.18
Granules India Ltd.,Healthcare,Small-Cap,November-2025,1024870,57.48
K.P.R. Mill Ltd.,Textile,Mid-Cap,November-2025,518206,55.68
Steel Authority Of India Ltd.,Metals,Mid-Cap,November-2025,3957841,53.78
Universal Cables Ltd.,Capital Goods,Small-Cap,November-2025,631174,53.34
Kirloskar Oil Engines Ltd.,Capital Goods,Small-Cap,November-2025,497867,52.89
Indian Energy Exchange Ltd.,Energy,Small-Cap,November-2025,3780900,52.62
Gujarat Pipavav Port Ltd.,Infrastructure,Small-Cap,November-2025,3042170,52.53
Waaree Energies Ltd.,Capital Goods,Mid-Cap,November-2025,157765,52.06
Anupam Rasayan India Ltd.,Chemicals,Small-Cap,November-2025,450173,51.68
BlackBuck Ltd.,Logistics,Small-Cap,November-2025,758874,51.31
Mahindra Holidays & Resorts India Ltd.,Travel,Small-Cap,November-2025,1547891,50
Vikram Solar Ltd.,Capital Goods,Small-Cap,November-2025,1614118,47.44
Allied Blenders And Distillers Ltd.,FMCG,Small-Cap,November-2025,702235,46.2
Karur Vysya Bank Ltd.,Financials,Small-Cap,November-2025,1874986,46.04
Fino Payments Bank Ltd.,Financials,Small-Cap,November-2025,1491635,45.52
Netweb Technologies India Ltd.,Consumer Durables,Small-Cap,November-2025,123951,45.42
Onesource Specialty Pharma Ltd.,Healthcare,Small-Cap,November-2025,267973,45.37
Vishal Mega Mart Ltd.,Retail and Other Services,Mid-Cap,November-2025,3189576,44.73
Mangalore Refinery And Petrochemicals Ltd.,Energy,Small-Cap,November-2025,2732759,44.33
Tata Motors Passenger Vehicles Ltd.,Automobile and Ancillaries,Large-Cap,November-2025,1123852,43.09
Leela Palaces Hotels & Resorts Ltd.,Travel,Small-Cap,November-2025,997555,42.17
Sanofi India Ltd.,Healthcare,Small-Cap,November-2025,91226,41.82
Mahindra Logistics Ltd.,Logistics,Small-Cap,November-2025,1218254,41.37
M&B Engineering Ltd.,Capital Goods,Small-Cap,November-2025,969247,40.94
Aavas Financiers Ltd.,Financials,Small-Cap,November-2025,254917,40.74
Indraprastha Medical Corporation Ltd.,Healthcare,Small-Cap,November-2025,721715,40.34
Balrampur Chini Mills Ltd.,FMCG,Small-Cap,November-2025,877475,39.77
Religare Enterprises Ltd.,Financials,Small-Cap,November-2025,1533716,39.24
EPL Ltd.,FMCG,Small-Cap,November-2025,1872284,37.97
Belrise Industries Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,2335789,37.16
Go Fashion (India) Ltd.,Retail and Other Services,Small-Cap,November-2025,634525,36.88
Bata India Ltd.,FMCG,Small-Cap,November-2025,345031,35.71
Piramal Pharma Ltd.,Healthcare,Small-Cap,November-2025,1777518,34.38
Brigade Enterprises Ltd.,Construction,Small-Cap,November-2025,355370,34.34
TV Today Network Ltd.,Media and Communications,Small-Cap,November-2025,2386745,33.94
Exide Industries Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,876835,33.18
Sheela Foam Ltd.,FMCG,Small-Cap,November-2025,508719,33.05
RPG Life Sciences Ltd.,Healthcare,Small-Cap,November-2025,140526,32.9
Medplus Health Services Ltd.,Retail and Other Services,Small-Cap,November-2025,412242,32.4
Colgate-Palmolive (India) Ltd.,FMCG,Mid-Cap,November-2025,146168,32.24
SKF India Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,157847,32.01
Nippon Life India Asset Management Ltd.,Financials,Mid-Cap,November-2025,364969,31.94
Anant Raj Ltd.,Construction,Small-Cap,November-2025,516289,31.52
Tata Communications Ltd.,Media and Communications,Mid-Cap,November-2025,170498,31.46
Patanjali Foods Ltd.,FMCG,Mid-Cap,November-2025,534761,31.3
V.S.T. Tillers Tractors Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,53853,31.21
TeamLease Services Ltd.,Miscellaneous,Small-Cap,November-2025,184292,30.65
PNB Housing Finance Ltd.,Financials,Small-Cap,November-2025,332052,30.45
Wonderla Holidays Ltd.,Retail and Other Services,Small-Cap,November-2025,535320,30.3
Route Mobile Ltd.,Technology,Small-Cap,November-2025,410937,28.34
Neogen Chemicals Ltd.,Chemicals,Small-Cap,November-2025,219822,28.22
Cohance Lifesciences Ltd.,Healthcare,Small-Cap,November-2025,428180,28.21
SJVN Ltd.,Energy,Mid-Cap,November-2025,3391552,28.13
Amara Raja Energy & Mobility Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,285397,27.92
Jyothy Labs Ltd.,FMCG,Small-Cap,November-2025,907230,27.88
Dr. Agarwal's Health Care Ltd.,Healthcare,Small-Cap,November-2025,530192,27.57
CSB Bank Ltd.,Financials,Small-Cap,November-2025,663352,27.38
NMDC Ltd.,Energy,Mid-Cap,November-2025,3635542,27.21
Sumitomo Chemical India Ltd.,Chemicals,Small-Cap,November-2025,557462,26.99
Ipca Laboratories Ltd.,Healthcare,Mid-Cap,November-2025,194535,26.5
KNR Constructions Ltd.,Infrastructure,Small-Cap,November-2025,1517087,25.9
Dixon Technologies (India) Ltd.,Consumer Durables,Mid-Cap,November-2025,17110,25.75
Urban Company Ltd.,Miscellaneous,Small-Cap,November-2025,1765917,25.58
Anand Rathi Share & Stock Brokers Ltd.,Financials,Small-Cap,November-2025,423607,25.48
Sky Gold and Diamonds Ltd.,Retail and Other Services,Small-Cap,November-2025,719017,24.7
Embassy Developments Ltd.,Construction,Small-Cap,November-2025,2848353,24.23
Gillette India Ltd.,FMCG,Small-Cap,November-2025,25792,22.83
Pfizer Ltd.,Healthcare,Small-Cap,November-2025,43437,22.12
Ceat Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,55630,21.92
Restaurant Brands Asia Ltd.,Retail and Other Services,Small-Cap,November-2025,3384050,21.92
Strides Pharma Science Ltd.,Healthcare,Small-Cap,November-2025,238266,21.6
EPack Prefab Technologies Ltd.,Consumer Durables,Small-Cap,November-2025,735292,21.35
Welspun Corp Ltd.,Metals,Small-Cap,November-2025,233108,21.24
Kansai Nerolac Paints Ltd.,Chemicals,Small-Cap,November-2025,865266,20.96
Oberoi Realty Ltd.,Construction,Mid-Cap,November-2025,121601,20.83
Larsen & Toubro Ltd.,Infrastructure,Large-Cap,November-2025,51173,20.73
Finolex Cables Ltd.,Capital Goods,Small-Cap,November-2025,262312,20.13
Mishra Dhatu Nigam Ltd.,Metals,Small-Cap,November-2025,561205,20.03
Force Motors Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,11273,19.99
Vikran Engineering Ltd.,Infrastructure,Small-Cap,November-2025,1870382,19.45
Zen Technologies Ltd.,Capital Goods,Small-Cap,November-2025,136423,18.85
Aptus Value Housing Finance India Ltd.,Financials,Small-Cap,November-2025,623708,18.61
Wockhardt Ltd.,Healthcare,Small-Cap,November-2025,146360,18.42
Manorama Industries Ltd.,FMCG,Small-Cap,November-2025,136592,18.34
Flair Writing Industries Ltd.,FMCG,Small-Cap,November-2025,595887,18.09
HFCL Ltd.,Media and Communications,Small-Cap,November-2025,2506847,18.01
BASF India Ltd.,Chemicals,Small-Cap,November-2025,41862,17.94
Asahi India Glass Ltd.,Construction,Small-Cap,November-2025,172744,16.79
Authum Investment & Infrastructure Ltd.,Financials,Mid-Cap,November-2025,59784,16.78
RateGain Travel Technologies Ltd.,Technology,Small-Cap,November-2025,247694,16.7
Just Dial Ltd.,Miscellaneous,Small-Cap,November-2025,218294,16.5
Rubicon Research Ltd.,Miscellaneous,Small-Cap,November-2025,263525,16.49
Raymond Lifestyle Ltd.,Textile,Small-Cap,November-2025,143183,16.46
Suzlon Energy Ltd.,Capital Goods,Mid-Cap,November-2025,2894122,16.4
Taj GVK Hotels & Resorts Ltd.,Travel,Small-Cap,November-2025,396335,16.35
BEML Ltd.,Logistics,Small-Cap,November-2025,80163,16.14
Fine Organic Industries Ltd.,Chemicals,Small-Cap,November-2025,35631,15.78
